,Timestamp,LineId,JourneyPattern,Timeframe,VehicleJourney,Longitude,Latitude,StopId,AtStop,Date
1336943,1359355045000000,15.0,00151001,2013-01-28,4964,-6.240501999999998,53.359203,4384.0,0,2013-01-28 06:37:25
1336967,1359355065000000,15.0,00151001,2013-01-28,4964,-6.239453,53.360195,519.0,1,2013-01-28 06:37:45
1337017,1359355083000000,15.0,00151001,2013-01-28,4964,-6.239347,53.360294,519.0,0,2013-01-28 06:38:03
1337049,1359355106000000,15.0,00151001,2013-01-28,4964,-6.238226999999998,53.361248,519.0,0,2013-01-28 06:38:26
1337074,1359355124000000,15.0,00151001,2013-01-28,4964,-6.2379,53.361519,521.0,1,2013-01-28 06:38:44
1337093,1359355144000000,15.0,00151001,2013-01-28,4964,-6.235831,53.363014,521.0,0,2013-01-28 06:39:04
1337138,1359355167000000,15.0,00151001,2013-01-28,4964,-6.235311,53.363174,522.0,1,2013-01-28 06:39:27
1337167,1359355185000000,15.0,00151001,2013-01-28,4964,-6.232583999999999,53.363937,522.0,0,2013-01-28 06:39:45
1337202,1359355206000000,15.0,00151001,2013-01-28,4964,-6.2294550000000015,53.364651,523.0,0,2013-01-28 06:40:06
1337234,1359355224000000,15.0,00151001,2013-01-28,4964,-6.228068,53.367031,669.0,0,2013-01-28 06:40:24
1337267,1359355244000000,15.0,00151001,2013-01-28,4964,-6.226125,53.368759,669.0,0,2013-01-28 06:40:44
1337293,1359355267000000,15.0,00151001,2013-01-28,4964,-6.223877,53.370937,671.0,0,2013-01-28 06:41:07
1337332,1359355283000000,15.0,00151001,2013-01-28,4964,-6.221237,53.373295,671.0,0,2013-01-28 06:41:23
1337351,1359355304000000,15.0,00151001,2013-01-28,4964,-6.2197010000000015,53.374748,672.0,0,2013-01-28 06:41:44
1337410,1359355330000000,15.0,00151001,2013-01-28,4964,-6.219361,53.375038,4382.0,0,2013-01-28 06:42:10
1337425,1359355346000000,15.0,00151001,2013-01-28,4964,-6.2180800000000005,53.37589300000001,4382.0,0,2013-01-28 06:42:26
1337459,1359355365000000,15.0,00151001,2013-01-28,4964,-6.215578,53.377262,4382.0,0,2013-01-28 06:42:45
1337489,1359355387000000,15.0,00151001,2013-01-28,4964,-6.212899,53.37855500000001,1196.0,0,2013-01-28 06:43:07
1337523,1359355404000000,15.0,00151001,2013-01-28,4964,-6.209645,53.380417,1197.0,0,2013-01-28 06:43:24
1337546,1359355424000000,15.0,00151001,2013-01-28,4964,-6.206906,53.382389,1197.0,0,2013-01-28 06:43:44
1337587,1359355444000000,15.0,00151001,2013-01-28,4964,-6.2043089999999985,53.383362,1198.0,0,2013-01-28 06:44:04
1337619,1359355465000000,15.0,00151001,2013-01-28,4964,-6.20215,53.38581800000001,1199.0,0,2013-01-28 06:44:25
1337651,1359355489000000,15.0,00151001,2013-01-28,4964,-6.199268,53.388241,1200.0,0,2013-01-28 06:44:49
1337694,1359355511000000,15.0,00151001,2013-01-28,4964,-6.1978860000000005,53.38931700000001,4385.0,0,2013-01-28 06:45:11
1337721,1359355530000000,15.0,00151001,2013-01-28,4964,-6.197471,53.389683,4385.0,0,2013-01-28 06:45:30
1337738,1359355546000000,15.0,00151001,2013-01-28,4964,-6.196081,53.3909,1201.0,1,2013-01-28 06:45:46
1337777,1359355566000000,15.0,00151001,2013-01-28,4964,-6.195729,53.391083,1201.0,0,2013-01-28 06:46:06
1337802,1359355587000000,15.0,00151001,2013-01-28,4964,-6.192815,53.392689,1202.0,0,2013-01-28 06:46:27
1337830,1359355605000000,15.0,00151001,2013-01-28,4964,-6.188988,53.39484399999999,1202.0,0,2013-01-28 06:46:45
1337859,1359355625000000,15.0,00151001,2013-01-28,4964,-6.187465,53.39664499999999,1202.0,0,2013-01-28 06:47:05
1337890,1359355644000000,15.0,00151001,2013-01-28,4964,-6.18736,53.396793,1203.0,0,2013-01-28 06:47:24
1337957,1359355687000000,15.0,00151001,2013-01-28,4964,-6.184165,53.400078,1203.0,0,2013-01-28 06:48:07
1338076,1359355753000000,15.0,00151001,2013-01-28,4964,-6.1799550000000005,53.402672,6115.0,0,2013-01-28 06:49:13
